Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
,,CompTIA Network+ (N10-009) ,https://www.linkedin.com/learning/comptia-network-plus-n10-009-cert-prep/network-plus-promo?u=42257553,LinkedIn Learning,Online Course,"The CompTIA Network+ (N10-009) Cert Prep course aims to equip you with foundational networking skills necessary to pass the CompTIA Network+ (N10-009) certification exam. The course covers a wide range of topics, including network models, cabling and topology, Ethernet basics and standards, TCP/IP basics, routing, network security, wireless networking, and more. By the end of the course, you should be well-prepared to tackle the certification exam and apply these networking skills in your professional role.",,18h,Intermediate,Foundational IT/Networking careers,Interactive,4/25/2025,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",First semester,"A strong networking foundation (OSI, TCP/IP, routing, switching, wireless) and hand on experience",,
,Cybersecurity,Vulnerability Assessment: Cybersecurity Labs Powered by Hack the Box,https://www.linkedin.com/learning/vulnerability-assessment-cybersecurity-labs-powered-by-hack-the-box/apply-your-skills-with-hack-the-box?u=42257553,LinkedIn Learning,Online Course,"Learn the essential skills and methodologies for conducting effective vulnerability assessments. 
Using Cybersecurity Labs powered by Hack The Box, explore the differences between vulnerability assessments and penetration tests, gain hands-on experience with industry-standard tools like Nessus and OpenVAS.
Learn how to interpret scan results, and discover best practices for delivering clear, actionable reports. 
Differentiate between vulnerability assessments and penetration testing.
Understand and apply vulnerability scoring systems (e.g., CVSS).
Install, configure, and operate Nessus and OpenVAS vulnerability scanners.
Interpret scan results and generate effective vulnerability assessment reports.","Information security fundamentals
Penetration testing process fundamentals
Linux fundamentals",4h 19m,Intermediate,"Security analysts, IT auditors, network engineers, and anyone responsible for identifying, assessing, and reporting on system vulnerabilities",Interactive,10/30/2025,,Yes,Yes,Other (Specify in the 'Comments' column),Transition to industry,This course will provide you with essential skills and methodologies for conducting effective vulnerability assessments and penetration testing in cybersecurity,,
,,Introduction to Cryptography and Applied Cryptanalysis,https://www.linkedin.com/learning/introduction-to-applied-cryptography-and-cryptanalysis-by-infosec/introduction-to-the-course?u=42257553,LinkedIn Learning,Online Course,"The key objectives of the course are to:
Explore foundational topics such as symmetric and asymmetric cryptography, block and stream ciphers, and advanced encryption standards.
Learn how to manage secure credentials effectively and understand the importance of hash functions.
Explore SSL/TLS protocols and evaluate various VPN technologies.
Gain hands-on skills necessary for solving real-world cybersecurity challenges, including deciphering malware communication and decoding encrypted files.
By the end of this course, you'll be prepared to tackle encryption inefficiencies, secure data transmissions, and apply cryptographic solutions with confidence.
",,5h 41m,Beginner,Cybersecurity professionals,passive,9/5/2025,,Yes,Yes,Other (Specify in the 'Comments' column),Ongoing study,"Offers good basics for Infrormation Security Beginners. Skill Areas: Cryptography, Cryptanalysis, & Malware Detection",,
,,ISC2 Certified Information Systems Security Professional (CISSP) (2024) Cert Prep,https://www.linkedin.com/learning/isc2-certified-information-systems-security-professional-cissp-2024-cert-prep/earning-your-cissp?u=42257553,LinkedIn Learning,Online Course,"The ISC2 Certified Information Systems Security Professional (CISSP) (2024) Cert Prep course aims to prepare you for the CISSP certification exam. Key areas covered in the course:

Security and Risk Management: Learn about security and risk management, including asset security.
Security Architecture and Engineering: Explore security architecture and engineering principles.
Communication and Network Security: Understand communication and network security, as well as identity and access management (IAM).
Security Assessment and Testing: Go over security assessment, testing, and operations.
Software Development Security: Gain insights into software development security.
",,21h,Intermediate,Cybersecurity professionals,Interactive,4/25/2024,,Yes,Yes,Other (Specify in the 'Comments' column),Transition to industry,The CISSP is one of the most in-demand certifications for security professionals. This course gives your preparation for the exam off to a great start. Skills covered: Information and Network Security,,
,,Certified Ethical Hacker,https://www.linkedin.com/learning/certified-ethical-hacker-ceh/certified-ethical-hacker-ceh-introduction?u=42257553,LinkedIn Learning,Online Course,"The course covers various topics, including ethical hacking fundamentals, reconnaissance techniques, network and perimeter hacking, system hacking phases and attack techniques, web application hacking, wireless, mobile, IoT and OT hacking, cloud computing, and cryptography. By the end of the course, you should be well-prepared to pass the CEH exam and take on the challenges of a cybersecurity professional.",,19h,Intermediate,,Interactive,2/3/2025,,Yes,Yes,Other (Specify in the 'Comments' column),Ongoing study,"Skill Area: Ethical Hacking, Cybersecurity",,
,,Cybersecurity Foundations,https://www.linkedin.com/learning/cybersecurity-foundations-22006082/understanding-the-cybersecurity-frameworks-and-standards?u=42257553,LinkedIn Learning,Online Course,"The course will enable learners to:
Differentiate between the phases of the Cyber Kill Chain.
Describe the several types of cyberattacks.
Explain what the NIST Cybersecurity Framework is.
Interpret basic practices of cyber risk.
Determine which elements are used in developing a secure architecture.
Articulate the best approach to respond to an incident.
Describe the seven principles for global cybersecurity users.
",,3h 31m,Beginner,,passive,4/8/0202,,Yes,No,Other (Specify in the 'Comments' column),Pre-arrival,Skill Area: Cybersecurity,,
,Hardware,Electronics Foundations: Fundamentals,https://www.linkedin.com/learning/electronics-foundations-fundamentals/the-fundamentals-of-electronics?u=42257553,LinkedIn Learning,Online Course,"Key takeaways:

Understand the fundamental concepts of voltage, current, resistance, and power.
Learn to compare conductors and insulators and relate electric current to flowing water.
Explore Ohm's law and how to measure DC voltage and direct current.
Calculate the power consumption of your circuits and choose the right batteries to power them.
Use a digital multimeter to measure actual voltage and current in circuits.",,1h 17m,Beginner,,Interactive,,June 2021,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,,,
,,Computer Architecture Essentials,https://www.linkedin.com/learning/computer-architecture-essentials/getting-started-with-computer-architecture?u=42257553,LinkedIn Learning,Online Course,"Learning objectives
Explain the fundamental components and architecture of computing systems, including the CPU, memory, and I/O subsystems.
Analyze and evaluate various instruction execution techniques, such as pipelining and out-of-order execution, and their impact on CPU performance.
Apply knowledge of memory hierarchies, caching strategies, and memory management techniques to optimize system performance.
Evaluate different I/O handling methods, including polling, interrupts, and direct memory access, and their applications in system design.
Analyze and discuss emerging technologies and specialized architectures, such as FPGAs, hardware accelerators, and neuromorphic computing, and their potential impact on the future of computing.",,4h 47m,Advanced,,Interactive,Jan 2025,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",First semester,,,
,,Electronics Foundations: Basic Circuits,https://www.linkedin.com/learning/electronics-foundations-basic-circuits/principles-of-basic-electronic-circuits?u=42257553,LinkedIn Learning,Online Course,"Understanding Basic Components: Learn how resistors, capacitors, and inductors work and how to use them in circuits.
Building and Debugging Circuits: Gain skills in reading electrical schematics, building circuits on breadboards, and debugging existing circuits.
Measuring Electrical Properties: Use tools like digital multimeters (DMM) and oscilloscopes to measure resistance, voltage, and electrical signals.
Designing Filters: Learn to design passive low-pass and high-pass filters to remove unwanted frequency components from signals.
AC vs. DC: Understand the differences between alternating current (AC) and direct current (DC) and their applications.",,4h 2m,Beginner,,Interactive,,July 2021,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Pre-arrival,,,
,,Troubleshooting Common PC Issues for Users,https://www.linkedin.com/learning/troubleshooting-common-pc-issues-for-users-13981629/troubleshoot-pc-issues-yourself?u=42257553,LinkedIn Learning,Online Course,"Diagnose and Resolve Issues: Learn how to determine if a PC problem is hardware or software-related and follow steps to resolve common issues like startup errors, shutdown problems, and malware.
Maintenance Techniques: Discover methods to maintain and improve the performance of storage drives and other peripherals like printers and monitors.
Network and Internet Connectivity: Gain tips on restoring network and internet connectivity when issues arise.",,1h 49m,Beginner,,Interactive,Jun 2021,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",Pre-arrival,,,
,,Electronics Foundations: Semiconductor Devices,https://www.linkedin.com/learning/electronics-foundations-semiconductor-devices/understanding-semiconductor-devices?u=42257553,LinkedIn Learning,Online Course,"Diodes: Learn how to use diodes to control the direction of current flow, protect circuits from large signals, reverse current, and flyback voltage.
Transistors: Understand how transistors can control the amount of current in a circuit, act as switches, and amplify signals. Explore different types of transistors like BJTs and MOSFETs.
Operational Amplifiers (Op-Amps): Discover how to use op-amps for various applications such as comparing, buffering, amplifying, filtering, and combining signals.",,4h 8m,Intermediate,,Interactive,,Jun 2022,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",First semester,,,
,,C Programming for Embedded Applications,https://www.linkedin.com/learning/c-programming-for-embedded-applications-14537235/getting-started-in-embedded-systems?u=42257553,LinkedIn Learning,Online Course,"Volatile Memory Issues: Recognize issues related to limited capacity and impacts on the stack and heap.
Nonvolatile Memory: Learn about storage options in embedded applications.
Energy Consumption: Understand the critical nature of energy consumption and its impact on battery time and heating.
Computational Power: Recognize the limited computational power of embedded processors and the benefits of keeping clock frequency low.
Data Types: Learn about choosing the smallest data type to achieve your goal and the trade-offs between speed and storage.
Floating-Point Arithmetic: Compare the expensive nature of implementing floating-point arithmetic with the convenience of fixed-point math.
Function Alternatives: Review the benefits of using lookup tables, macro functions, and inlining.",,2h 5m,Advanced,,Interactive,Feb 2022,,Yes,Yes,"Demonstrate foundational knowledge in computer architecture, operating systems, networking, and databases.",First semester,,,
,Software,Software Architecture: Patterns for Developers,https://www.linkedin.com/learning/software-architecture-patterns-for-developers-25635719/intro-video-to-be-renamed?u=42257553,LinkedIn Learning,Online Course,"Recognize and apply architectural patterns to your software designs.
Design an architecture for a new software application.
Understand various software architecture patterns, including system patterns like microservices, application patterns like event sourcing, and UI patterns like model-view-controller (MVC).
Learn the pros and cons of different patterns to determine which ones to use.",You’ll need a familiarity of the basics of software development. Hands-on demonstrations are in C#; however you don’t need to know C# to be successful in this course. All the patterns we cover can be implemented in other programming languages as well.,1h 28m,Intermediate,Software Developers,Interactive,Apr 2025,,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",First semester,,,
,,Software Architecture Foundations,https://www.linkedin.com/learning/software-architecture-foundations/the-importance-of-software-architecture?u=42257553,LinkedIn Learning,Online Course,"Understanding Software Architecture: Learn what software architecture is and how it helps in building better applications.
Architect's Role: Gain insights into the day-to-day job of a traditional and modern software architect.
Architectural Theories and Concepts: Explore major theories, concepts, and categories of architecture, including system vs. enterprise architecture.
Design Processes: Understand requirements gathering, identifying bounded contexts, and architectural patterns.
Architectural Patterns: Learn about common architectural patterns such as monoliths, microservices, microkernel architecture, and message-based architectures.",,1h 36m,Beginner,,Interactive,March 2019,,Yes,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Pre-arrival,,,
,,,,LinkedIn Learning,Online Course,,,,,,,,,,,,,,,
,,Learning Arduino: Foundations,https://www.linkedin.com/learning/learning-arduino-foundations-2/getting-started-with-arduino-22858971?u=42257553,LinkedIn Learning,Online Course,"
    What's an Arduino?
    Creating an Arduino program
    Using the setup() and loop() functions
    Using the pinMode() and digitalWrite() commands
    Creating your first sketch
    Writing code to turn LEDs on and off
    Wiring a pushbutton to Arduino
    Activating an LED with a pushbutton
    Troubleshooting","So the components that we need for the course are Arduino Uno, a 10k ohm resistor, a 330 ohm and we need three of them, three LEDs, push button, and jumper wires. The last thing that we need is a breadboard to make the connection of the circuit.",1h 6m,Beginner,,Interactive,,"Sep 25, 2023",Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,Foundational knowledge in Electronics,,
,,IoT Foundations: Fundamentals,https://www.linkedin.com/learning/iot-foundations-fundamentals/welcome-29683438?u=42257553,LinkedIn Learning,Online Course,"
    IoT value modeling
    The software-defined product
    The hardware-defined product
    Embedded systems
    Connected sensors
    The network fabric
    OT IT and fog networks
    Analytics and big data
    Data services","This is a foundational course, so there's no real prerequisites other than having a common understanding of technology. It'd also be helpful to have a rudimentary understanding of programming, IT networking, and data analytics. The most important requirement is that you have an interest in the internet of things.",41m,Beginner,Those interested in internet of things,passive,,"Aug 21, 2025",Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,Foundational knowledge in Electronics,,
,,,,,,,,,,,,,,,,,,,,
,Simulation and Modelling,Additive Manufacturing: Testing and Simulating 3D Prints,https://www.linkedin.com/learning/additive-manufacturing-testing-and-simulating-3d-prints/simulating-testing-and-validating-3d-prints?u=42257553,LinkedIn Learning,Online Course,"Understanding 3D Printing Processes: Learn about the entire process from design to validation, including simulation, fabrication, and testing of 3D prints.
Simulation and Testing: Explore how to simulate 3D printed parts, optimize designs, and test both plastic and metal 3D prints.
Standards and Validation: Get insights into evolving standards for additive manufacturing and methods for validating low-cost filament prints and qualifying materials.",,1h 38m,Intermediate,,Interactive,November 2021,,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,Understanding 3D Printing Processes,,
,,PLC Simulation Software: Factory I/O with Connected Component Workbench,https://www.linkedin.com/learning/plc-simulation-software-factory-i-o-with-connected-component-workbench/plc-programming-using-a-3d-factory-simulation-software-22833119?u=42257553,LinkedIn Learning,Online Course,"PLC Programming: Learn to program PLCs using simulation software, which is essential for those without access to actual PLCs.
Simulation Software: Gain hands-on experience with Connected Components Workbench (CCW) and Factory I/O software through progressively complex projects.
Practical Projects: Work on real-world projects such as programming a control panel, a conveyor belt, a filling tank with a timer, and sorting boxes by height.
Troubleshooting Tips: Learn useful troubleshooting tips for CCW software and Factory I/O to enhance your problem-solving skills.","Before starting this course, you should be familiar with ladder logic programming, including basic instructions like input and output instructions, and how timer instructions work. If you need a refresher or have no experience with ladder logic programming, it is recommended to check out the course 'Learning PLC Ladder Logic' available in the library.",2h 16m,Intermediate,,Interactive,,July 2025,Yes,Yes,Other (Specify in the 'Comments' column),First semester,Learn to program PLCs using simulation software,,
,,CompTIA Tech+ (FC0-U71) Cert Prep,https://www.linkedin.com/learning/comptia-tech-plus-fc0-u71-cert-prep/articles/comptia-certification-exam-vouchers?u=42257553,LinkedIn Learning,Online Course,"Foundational IT Skills: Learn essential IT infrastructure and computing concepts, including hardware, software, and emerging technologies like AI and IoT.
Troubleshooting and Security: Gain tips on troubleshooting common hardware and software issues and recognizing basic cybersecurity threats.
Practical Applications: Understand how to set up and configure devices, manage files, and configure network and internet connectivity.",,4h 50m,Intermediate,,Interactive,Mar 2025,,Yes,Yes,Other (Specify in the 'Comments' column),Ongoing study,"Learn essential IT infrastructure and computing concepts, including hardware, software, and emerging technologies like AI and IoT.",,
,,,,,,,,,,,,,,,,,,,,
Professional and Project Skills,Project management,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Design thinking,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Intellectual property & data protection,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Business fundamentals & entrepreneurial thinking (business plan),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Business fundamentals & entrepreneurial thinking (business development),Business Development Foundations,,,,,,52m,Beginner,,,Jun 2023,,Yes,Yes,,,,,
,,,,,,,,,,,,,,,,,,,,
,Business fundamentals & entrepreneurial thinking (product development),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Business fundamentals & entrepreneurial thinking 
(market research)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Business fundamentals & entrepreneurial thinking (finance),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,SDGs,Sustainable Development Goals: Tech Solutions,https://www.linkedin.com/learning/sustainable-development-goals-sdg-tech-solutions/introduction?u=42257553,LinkedIn Learning,Online Course,"Learning objectives:
Review the 17 Sustainable Development Goals (SDGs) and five associated themes.
Learn about the people theme and SDGs 1–5: no poverty, zero hunger, good health and well-being, quality education, and gender equality.
Explore a real-world case study on creating education solutions for refugee children in Jordan (SDGs 4, 10).
Learn about the planet theme and SDGs 6, 12–14: responsible consumption and production, climate action, and life below water.
Explore a real-world case study on protecting mangroves in Malaysia (SDGs 13, 15).
Learn about the prosperity theme and SDGs 7–10: affordable and clean energy; decent work and economic growth; industry, innovation, and infrastructure; and reduced inequalities.
Explore a real-world case study covering the smart tech partnership in Dubai (SDGs 9, 11, 17).
Learn about the peace theme and SDG 16: peace, justice, and strong institutions.
Explore a real-world case study covering birth registrations in Pakistan (SDG 10, 16, 17).
Learn about the partnership theme and SDG 17: partnerships for the goals.
Explore a real-world case study about a Kenyan mobile network operator delivering innovative solutions to customers (8, 9, 17).
Discover how you can contribute to SDGs and create a more sustainable future.",,52 min,Beginner,,passive,6/1/2023,,Yes,Yes,Other (Specify in the 'Comments' column),Pre-arrival,"Clear and practical introduction to how technology can accelerate progress toward the SDGs. Skill areas covered: SDG, Technology Education",,
